,clusterID,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,target
10,2,35,Travel_Rarely,809,Research & Development,16,3,Medical,14,1,Male,84,4,1,Laboratory Technician,2,Married,16479,0,No,13,3,3,1,6,5,3,5,4,0,3,0
11,2,29,Travel_Rarely,153,Research & Development,15,2,Life Sciences,15,4,Female,49,2,2,Laboratory Technician,3,Single,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8,0
12,2,31,Travel_Rarely,670,Research & Development,26,1,Life Sciences,16,1,Male,31,3,1,Research Scientist,3,Divorced,15170,1,No,17,3,4,1,5,1,2,5,2,4,3,0
13,2,34,Travel_Rarely,1346,Research & Development,19,2,Medical,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,8758,0,No,11,3,3,1,3,2,3,2,2,1,2,0
14,2,28,Travel_Rarely,103,Research & Development,24,3,Life Sciences,19,3,Male,50,2,1,Laboratory Technician,3,Single,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3,1
15,1,29,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,10195,1,No,11,3,3,1,10,1,3,10,9,8,8,0
16,2,32,Travel_Rarely,334,Research & Development,5,2,Life Sciences,21,1,Male,80,4,1,Research Scientist,2,Divorced,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5,0
17,2,22,Non-Travel,1123,Research & Development,16,2,Medical,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0,0
18,1,53,Travel_Rarely,1219,Sales,2,4,Life Sciences,23,1,Female,78,2,4,Manager,4,Married,22021,2,No,16,3,3,0,31,3,3,25,8,3,7,0
19,2,38,Travel_Rarely,371,Research & Development,2,3,Life Sciences,24,4,Male,45,3,1,Research Scientist,4,Single,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2,0
20,2,24,Non-Travel,673,Research & Development,11,2,Other,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,8232,0,No,18,3,4,1,5,5,2,4,2,1,3,0
21,3,36,Travel_Rarely,1218,Sales,9,4,Life Sciences,27,3,Male,82,2,1,Sales Representative,1,Single,6986,7,No,23,4,2,0,10,4,3,5,3,0,3,1
22,1,34,Travel_Rarely,419,Research & Development,7,4,Life Sciences,28,1,Female,53,3,3,Research Director,2,Single,21293,0,No,11,3,3,0,13,4,3,12,6,2,11,0
23,2,21,Travel_Rarely,391,Research & Development,15,2,Life Sciences,30,3,Male,96,3,1,Research Scientist,4,Single,19281,1,No,14,3,4,0,0,6,3,0,0,0,0,0
24,2,34,Travel_Rarely,699,Research & Development,6,1,Medical,31,2,Male,83,3,1,Research Scientist,1,Single,17102,2,No,11,3,3,0,8,2,3,4,2,1,3,1
25,1,53,Travel_Rarely,1282,Research & Development,5,3,Other,32,3,Female,58,3,5,Manager,3,Divorced,10735,4,No,11,3,4,1,26,3,2,14,13,4,8,0
26,3,32,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,33,2,Female,72,1,1,Research Scientist,1,Single,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7,1
27,2,42,Travel_Rarely,691,Sales,8,4,Marketing,35,3,Male,48,3,2,Sales Executive,2,Married,21173,0,No,11,3,4,1,10,2,3,9,7,4,2,0
28,1,44,Travel_Rarely,477,Research & Development,7,4,Medical,36,1,Female,42,2,3,Healthcare Representative,4,Married,2094,3,No,14,3,4,1,24,4,3,22,6,5,17,0
29,0,46,Travel_Rarely,705,Sales,2,4,Marketing,38,2,Female,83,3,5,Manager,1,Single,22822,3,No,12,3,4,0,22,2,2,2,2,2,1,0
30,2,33,Travel_Rarely,924,Research & Development,2,3,Medical,39,3,Male,78,3,1,Laboratory Technician,4,Single,6670,4,No,11,3,4,0,7,3,3,1,1,0,0,0
31,0,44,Travel_Rarely,1459,Research & Development,10,4,Other,40,4,Male,41,3,2,Healthcare Representative,4,Married,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3,0
32,2,30,Travel_Rarely,125,Research & Development,9,2,Medical,41,4,Male,83,2,1,Laboratory Technician,3,Single,16117,1,No,13,3,1,0,10,5,3,10,0,1,8,0
33,0,39,Travel_Rarely,895,Sales,5,3,Technical Degree,42,4,Male,56,3,2,Sales Representative,4,Married,3335,3,No,14,3,3,1,19,6,4,1,0,0,0,1
34,2,24,Travel_Rarely,813,Research & Development,1,3,Medical,45,2,Male,61,3,1,Research Scientist,4,Married,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0,1
35,2,43,Travel_Rarely,1273,Research & Development,2,2,Medical,46,4,Female,72,4,1,Research Scientist,3,Divorced,21923,1,No,12,3,4,2,6,3,2,5,3,1,4,0
36,2,50,Travel_Rarely,869,Sales,3,2,Marketing,47,1,Male,86,2,1,Sales Representative,3,Married,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2,1
37,2,35,Travel_Rarely,890,Sales,2,3,Marketing,49,4,Female,97,3,1,Sales Representative,4,Married,9687,1,No,13,3,1,0,2,3,3,2,2,2,2,0
38,0,36,Travel_Rarely,852,Research & Development,5,4,Life Sciences,51,2,Female,82,2,1,Research Scientist,1,Married,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0,0
39,2,33,Travel_Frequently,1141,Sales,1,3,Life Sciences,52,3,Female,42,4,2,Sales Executive,1,Married,3193,2,No,19,3,1,2,10,3,3,5,3,1,3,0
40,2,35,Travel_Rarely,464,Research & Development,4,2,Other,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,10910,1,No,12,3,3,1,1,3,3,1,0,0,0,0
41,2,27,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,19715,1,No,13,3,4,1,1,6,3,1,0,0,0,0
42,2,26,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,55,1,Male,48,1,1,Laboratory Technician,3,Single,10558,1,No,12,3,3,0,1,2,2,1,0,0,1,1
43,2,27,Travel_Frequently,994,Sales,8,3,Life Sciences,56,4,Male,37,3,3,Sales Executive,3,Single,2975,1,No,15,3,4,0,9,0,3,9,8,1,7,0
44,3,30,Travel_Frequently,721,Research & Development,1,2,Medical,57,3,Female,58,3,2,Laboratory Technician,4,Single,10781,1,No,23,4,4,0,12,2,3,12,8,3,7,0
45,1,41,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,58,2,Female,49,3,5,Research Director,3,Married,16280,1,No,12,3,4,0,23,0,3,22,15,15,8,1
46,3,34,Non-Travel,1065,Sales,23,4,Marketing,60,2,Male,72,3,2,Sales Executive,3,Single,10034,0,No,20,4,3,0,10,2,3,9,5,8,7,0
47,3,37,Travel_Rarely,408,Research & Development,19,2,Life Sciences,61,2,Male,73,3,1,Research Scientist,2,Married,10227,4,No,21,4,1,0,8,1,3,1,0,0,0,0
48,3,46,Travel_Frequently,1211,Sales,5,4,Marketing,62,1,Male,98,3,2,Sales Executive,4,Single,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8,0
49,2,35,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,63,4,Male,36,4,1,Laboratory Technician,4,Married,4892,1,No,19,3,4,0,1,2,3,1,0,0,1,0
50,0,48,Travel_Rarely,626,Research & Development,1,2,Life Sciences,64,1,Male,98,2,3,Laboratory Technician,3,Single,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0,1
51,2,28,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,65,3,Male,50,3,1,Laboratory Technician,3,Single,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2,1
52,3,44,Travel_Rarely,1488,Sales,1,5,Marketing,68,2,Female,75,3,2,Sales Executive,1,Divorced,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3,0
53,2,35,Non-Travel,1097,Research & Development,11,2,Medical,70,3,Male,79,2,3,Healthcare Representative,1,Married,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3,0
54,0,26,Travel_Rarely,1443,Sales,23,3,Marketing,72,3,Female,47,2,2,Sales Executive,4,Married,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0,0
55,1,33,Travel_Frequently,515,Research & Development,1,2,Life Sciences,73,1,Female,98,3,3,Research Director,4,Single,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12,0
56,3,35,Travel_Frequently,853,Sales,18,5,Life Sciences,74,2,Male,71,3,3,Sales Executive,1,Married,11031,1,No,22,4,4,1,9,3,2,9,8,1,8,0
57,2,35,Travel_Rarely,1142,Research & Development,23,4,Medical,75,3,Female,30,3,1,Laboratory Technician,1,Married,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2,0
58,3,31,Travel_Rarely,655,Research & Development,7,4,Life Sciences,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,9528,3,No,22,4,4,1,10,3,2,7,7,1,7,0
59,2,37,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,2689,1,No,18,3,3,1,7,2,4,7,5,0,7,0
60,3,32,Travel_Rarely,427,Research & Development,1,3,Medical,78,1,Male,33,3,2,Manufacturing Director,4,Married,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8,0
61,1,38,Travel_Frequently,653,Research & Development,29,5,Life Sciences,79,4,Female,50,3,2,Laboratory Technician,4,Single,5456,1,No,11,3,4,0,10,2,3,10,3,9,9,0
62,1,50,Travel_Rarely,989,Research & Development,7,2,Medical,80,2,Female,43,2,5,Research Director,3,Divorced,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8,0
63,1,59,Travel_Rarely,1435,Sales,25,3,Life Sciences,81,1,Female,99,3,3,Sales Executive,1,Single,2354,7,No,11,3,4,0,28,3,2,21,16,7,9,0
64,1,36,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,8202,1,No,13,3,2,3,17,2,3,17,14,12,8,0
65,0,55,Travel_Rarely,836,Research & Development,8,3,Medical,84,4,Female,33,3,4,Manager,3,Divorced,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2,0
66,2,36,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,85,2,Male,95,2,2,Manufacturing Director,2,Single,22656,1,No,13,3,3,0,6,3,3,6,5,0,3,0
67,0,45,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,86,2,Male,59,3,3,Research Scientist,1,Divorced,18787,2,No,17,3,3,1,25,2,3,1,0,0,0,0
68,2,35,Travel_Frequently,664,Research & Development,1,3,Medical,88,2,Male,79,3,1,Research Scientist,1,Married,5868,4,No,13,3,4,1,5,2,2,3,2,1,2,0
69,2,36,Travel_Rarely,318,Research & Development,9,3,Medical,90,4,Male,79,2,1,Research Scientist,3,Married,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0,1
70,0,59,Travel_Frequently,1225,Sales,1,1,Life Sciences,91,1,Female,57,2,2,Sales Executive,3,Single,24668,7,No,11,3,4,0,20,2,2,4,3,1,3,0
71,3,29,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,94,3,Male,76,3,1,Research Scientist,2,Married,4956,0,No,23,4,4,1,6,3,3,5,4,0,4,0
72,2,31,Travel_Rarely,1082,Research & Development,1,4,Medical,95,3,Male,87,3,1,Research Scientist,2,Single,18775,1,No,17,3,2,0,1,4,3,1,1,1,0,0
73,2,32,Travel_Rarely,548,Research & Development,1,3,Life Sciences,96,2,Male,66,3,2,Research Scientist,2,Married,7346,1,No,17,3,2,2,10,3,3,10,4,0,9,0
74,2,36,Travel_Rarely,132,Research & Development,6,3,Life Sciences,97,2,Female,55,4,1,Laboratory Technician,4,Married,22002,3,No,12,3,2,0,5,3,3,1,0,0,0,0
75,3,31,Travel_Rarely,746,Research & Development,8,4,Life Sciences,98,3,Female,61,3,2,Manufacturing Director,4,Single,20682,1,No,23,4,4,0,11,2,3,11,7,1,8,0
76,1,35,Travel_Rarely,776,Sales,1,4,Marketing,100,3,Male,32,2,2,Sales Executive,1,Single,23016,0,No,14,3,2,0,16,2,3,15,13,2,8,0
77,0,45,Travel_Rarely,193,Research & Development,6,4,Other,101,4,Male,52,3,3,Research Director,1,Married,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0,0
78,0,37,Travel_Rarely,397,Research & Development,7,4,Medical,102,1,Male,30,3,3,Research Director,3,Single,25258,4,No,13,3,1,0,16,3,4,5,2,0,2,0
79,3,46,Travel_Rarely,945,Human Resources,5,2,Medical,103,2,Male,80,3,2,Human Resources,2,Divorced,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2,0
80,2,30,Travel_Rarely,852,Research & Development,1,1,Life Sciences,104,4,Male,55,2,2,Laboratory Technician,4,Married,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0,0
81,2,35,Travel_Rarely,1214,Research & Development,1,3,Medical,105,2,Male,30,2,1,Research Scientist,3,Single,26278,1,No,18,3,1,0,6,3,3,6,4,0,4,0
82,0,55,Travel_Rarely,111,Sales,1,2,Life Sciences,106,1,Male,70,3,3,Sales Executive,4,Married,18092,3,No,14,3,4,1,24,4,3,1,0,1,0,0
83,1,38,Non-Travel,573,Research & Development,6,3,Medical,107,2,Female,79,1,2,Research Scientist,4,Divorced,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9,0
84,2,34,Travel_Rarely,1153,Research & Development,1,2,Medical,110,1,Male,94,3,2,Manufacturing Director,2,Married,17736,1,No,15,3,3,0,5,2,3,5,2,1,3,0
85,0,56,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,112,4,Male,49,1,3,Manufacturing Director,4,Single,21698,4,No,11,3,1,0,37,3,2,6,4,0,2,0
86,2,23,Travel_Rarely,541,Sales,2,1,Technical Degree,113,3,Male,62,3,1,Sales Representative,1,Divorced,9518,3,No,13,3,3,1,3,3,3,0,0,0,0,0
87,3,51,Travel_Rarely,432,Research & Development,9,4,Life Sciences,116,4,Male,96,3,1,Laboratory Technician,4,Married,18725,3,No,23,4,2,2,10,4,3,4,2,0,3,0
88,1,30,Travel_Rarely,288,Research & Development,2,3,Life Sciences,117,3,Male,99,2,2,Healthcare Representative,4,Married,15830,1,No,19,3,1,3,11,3,3,11,10,10,8,0
89,1,46,Travel_Rarely,669,Sales,9,2,Medical,118,3,Male,64,2,3,Sales Executive,4,Single,13596,1,No,16,3,4,0,9,3,3,9,8,4,7,1
90,1,40,Travel_Frequently,530,Research & Development,1,4,Life Sciences,119,3,Male,78,2,4,Healthcare Representative,2,Married,14115,1,No,22,4,4,1,22,3,2,22,3,11,11,0
91,3,51,Travel_Rarely,632,Sales,21,4,Marketing,120,3,Male,71,3,2,Sales Executive,4,Single,8423,0,Yes,22,4,4,0,11,2,1,10,7,1,0,0
92,2,30,Travel_Rarely,1334,Sales,4,2,Medical,121,3,Female,63,2,2,Sales Executive,2,Divorced,19760,1,Yes,12,3,2,3,11,4,2,11,8,2,7,0
93,1,46,Travel_Frequently,638,Research & Development,1,3,Medical,124,3,Male,40,2,3,Healthcare Representative,1,Married,3142,2,Yes,13,3,3,1,21,5,2,10,9,9,5,0
94,1,32,Travel_Rarely,1093,Sales,6,4,Medical,125,2,Male,87,3,2,Sales Executive,3,Single,24301,1,No,16,3,1,0,12,0,3,11,8,5,7,0
95,0,54,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,126,1,Female,60,3,3,Research Director,3,Married,24001,9,No,12,3,1,1,16,5,1,4,3,0,3,0
96,3,24,Travel_Rarely,1353,Sales,3,2,Other,128,1,Female,33,3,2,Sales Executive,3,Married,17519,0,No,21,4,1,1,4,2,2,3,2,0,2,0
97,2,28,Non-Travel,120,Sales,4,3,Medical,129,2,Male,43,3,2,Sales Executive,3,Married,8863,1,No,15,3,2,0,5,3,4,5,4,0,4,0
98,1,58,Travel_Rarely,682,Sales,10,4,Medical,131,4,Male,37,3,4,Sales Executive,3,Single,24409,0,No,13,3,3,0,38,1,2,37,10,1,8,0
99,0,44,Non-Travel,489,Research & Development,23,3,Medical,132,2,Male,67,3,2,Laboratory Technician,2,Married,25043,4,No,12,3,3,1,17,3,4,3,2,1,2,0
100,3,37,Travel_Rarely,807,Human Resources,6,4,Human Resources,133,3,Male,63,3,1,Human Resources,1,Divorced,23648,4,Yes,22,4,4,0,7,3,3,3,2,0,2,1
101,2,32,Travel_Rarely,827,Research & Development,1,1,Life Sciences,134,4,Male,71,3,1,Research Scientist,1,Single,15178,1,No,13,3,4,0,1,2,3,1,0,0,0,0
102,2,20,Travel_Frequently,871,Research & Development,6,3,Life Sciences,137,4,Female,66,2,1,Laboratory Technician,4,Single,19783,1,Yes,18,3,2,0,1,5,3,1,0,1,0,1
103,1,34,Travel_Rarely,665,Research & Development,6,4,Other,138,1,Female,41,3,2,Research Scientist,3,Single,12482,1,No,14,3,3,0,16,3,3,16,13,2,10,0
104,0,37,Non-Travel,1040,Research & Development,2,2,Life Sciences,139,3,Male,100,2,2,Healthcare Representative,4,Divorced,15850,5,No,14,3,4,1,17,2,4,1,0,0,0,0
105,0,59,Non-Travel,1420,Human Resources,2,4,Human Resources,140,3,Female,32,2,5,Manager,4,Married,21922,9,No,21,4,4,1,30,3,3,3,2,2,2,0
106,1,50,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,141,1,Female,73,3,5,Research Director,2,Married,9755,3,Yes,19,3,1,0,28,1,2,8,3,0,7,0
107,2,25,Travel_Rarely,240,Sales,5,3,Marketing,142,3,Male,46,2,2,Sales Executive,3,Single,26959,1,Yes,11,3,4,0,6,1,3,6,4,0,3,1
108,2,25,Travel_Rarely,1280,Research & Development,7,1,Medical,143,4,Male,64,2,1,Research Scientist,4,Married,26897,1,No,11,3,3,2,2,2,3,2,2,2,1,0
109,2,22,Travel_Rarely,534,Research & Development,15,3,Medical,144,2,Female,59,3,1,Laboratory Technician,4,Single,23785,1,No,15,3,3,0,1,5,3,0,0,0,0,0
110,1,51,Travel_Frequently,1456,Research & Development,1,4,Medical,145,1,Female,30,2,3,Healthcare Representative,1,Single,25796,3,No,20,4,3,0,23,1,2,13,12,12,8,0
111,3,34,Travel_Frequently,658,Research & Development,7,3,Life Sciences,147,1,Male,66,1,2,Laboratory Technician,3,Single,22887,1,Yes,24,4,4,0,9,3,3,9,7,0,6,1
112,0,54,Non-Travel,142,Human Resources,26,3,Human Resources,148,4,Female,30,4,4,Manager,4,Single,13871,2,Yes,12,3,3,0,23,3,3,5,3,4,4,0
113,2,24,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,150,2,Male,52,3,1,Laboratory Technician,3,Married,13257,0,No,12,3,3,1,6,2,3,5,3,1,2,0
114,0,34,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,151,3,Female,45,2,2,Research Scientist,2,Divorced,15000,6,No,15,3,3,1,12,3,3,1,0,0,0,0
115,0,37,Travel_Rarely,1189,Sales,3,3,Life Sciences,152,3,Male,87,3,3,Sales Executive,4,Single,14506,2,No,12,3,1,0,12,3,3,5,3,1,3,0
116,1,34,Travel_Rarely,1354,Research & Development,5,3,Medical,153,3,Female,45,2,3,Manager,1,Single,5615,2,No,12,3,4,0,14,6,3,11,10,5,8,0
117,1,36,Travel_Frequently,1467,Sales,11,2,Technical Degree,154,2,Female,92,3,3,Sales Executive,4,Married,22952,0,No,14,3,3,1,10,6,3,9,7,2,8,0
118,3,36,Travel_Rarely,922,Research & Development,3,2,Life Sciences,155,1,Female,39,3,1,Laboratory Technician,4,Divorced,2561,5,No,22,4,1,1,7,2,3,1,0,0,0,0
119,1,43,Travel_Frequently,394,Sales,26,2,Life Sciences,158,3,Male,92,3,4,Manager,4,Married,19494,1,Yes,12,3,4,2,25,3,4,25,12,4,12,0
120,3,30,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,159,1,Male,96,1,1,Research Scientist,3,Divorced,22310,1,No,25,4,3,3,10,2,2,10,7,0,9,0
121,2,33,Non-Travel,750,Sales,22,2,Marketing,160,3,Male,95,3,2,Sales Executive,2,Married,15480,0,No,13,3,1,1,8,2,4,7,7,0,7,0
122,0,56,Travel_Rarely,441,Research & Development,14,4,Life Sciences,161,2,Female,72,3,1,Research Scientist,2,Married,4510,9,Yes,18,3,1,3,7,2,3,5,4,4,3,1
123,1,51,Travel_Rarely,684,Research & Development,6,3,Life Sciences,162,1,Male,51,3,5,Research Director,3,Single,6462,7,No,13,3,3,0,23,5,3,20,18,15,15,0
124,1,31,Travel_Rarely,249,Sales,6,4,Life Sciences,163,2,Male,76,1,2,Sales Executive,3,Married,20739,4,Yes,18,3,2,0,12,3,2,7,7,7,7,1
125,2,26,Travel_Rarely,841,Research & Development,6,3,Other,164,3,Female,46,2,1,Research Scientist,2,Married,23300,1,No,19,3,3,0,5,3,2,5,4,4,3,0
126,1,58,Travel_Rarely,147,Research & Development,23,4,Medical,165,4,Female,94,3,3,Healthcare Representative,4,Married,3465,1,No,12,3,4,1,40,3,2,40,10,15,6,1
127,2,19,Travel_Rarely,528,Sales,22,1,Marketing,167,4,Male,50,3,1,Sales Representative,3,Single,26820,1,Yes,19,3,4,0,0,2,2,0,0,0,0,1
128,2,22,Travel_Rarely,594,Research & Development,2,1,Technical Degree,169,3,Male,100,3,1,Laboratory Technician,4,Married,19299,0,No,14,3,3,1,3,2,3,2,1,2,1,0
129,1,49,Travel_Rarely,470,Research & Development,20,4,Medical,170,3,Female,96,3,2,Manufacturing Director,1,Married,5549,1,No,14,3,3,0,16,2,2,15,11,5,11,0
130,0,43,Travel_Frequently,957,Research & Development,28,3,Medical,171,2,Female,72,4,1,Research Scientist,3,Single,16090,4,No,12,3,4,0,18,2,3,3,2,1,2,0
131,0,50,Travel_Frequently,809,Sales,12,3,Marketing,174,3,Female,77,3,3,Sales Executive,4,Single,6645,4,No,11,3,4,0,16,3,3,2,2,2,1,0
132,2,31,Travel_Rarely,542,Sales,20,3,Life Sciences,175,2,Female,71,1,2,Sales Executive,3,Married,24788,3,Yes,11,3,3,1,4,2,3,2,2,2,2,1
133,1,41,Travel_Rarely,802,Sales,9,1,Life Sciences,176,3,Male,96,3,3,Sales Executive,3,Divorced,21196,3,Yes,13,3,3,1,12,2,3,9,7,0,7,0
134,3,26,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,177,3,Female,61,3,1,Human Resources,3,Married,8916,1,No,23,4,4,1,8,3,3,8,7,5,7,0
135,3,36,Travel_Rarely,216,Research & Development,6,2,Medical,178,2,Male,84,3,2,Manufacturing Director,2,Divorced,2819,6,No,20,4,4,2,7,0,3,3,2,0,1,0
136,0,51,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,179,1,Male,53,1,3,Manufacturing Director,4,Single,25150,2,No,15,3,4,0,18,2,3,4,2,0,3,1
137,1,39,Travel_Rarely,1329,Sales,4,4,Life Sciences,182,4,Female,47,2,2,Sales Executive,3,Married,14590,4,No,14,3,3,1,17,1,4,15,11,5,9,0
138,2,25,Travel_Rarely,959,Sales,28,3,Life Sciences,183,1,Male,41,2,2,Sales Executive,3,Married,24835,2,No,18,3,4,0,6,3,3,2,2,2,2,0
139,1,30,Travel_Rarely,1240,Human Resources,9,3,Human Resources,184,3,Male,48,3,2,Human Resources,4,Married,13982,0,Yes,19,3,4,0,12,2,1,11,9,4,7,0
140,3,32,Travel_Rarely,1033,Research & Development,9,3,Medical,190,1,Female,41,3,1,Laboratory Technician,1,Single,10224,7,No,22,4,1,0,10,2,4,5,4,0,4,1
141,0,45,Travel_Rarely,1316,Research & Development,29,3,Medical,192,3,Male,83,3,1,Research Scientist,4,Single,9752,5,No,13,3,2,0,9,2,2,6,5,0,3,0
142,3,38,Travel_Rarely,364,Research & Development,3,5,Technical Degree,193,4,Female,32,3,2,Research Scientist,3,Single,2302,3,Yes,20,4,2,0,19,2,3,3,2,2,2,0
143,2,30,Travel_Rarely,438,Research & Development,18,3,Life Sciences,194,1,Female,75,3,1,Research Scientist,3,Single,23910,1,No,14,3,3,0,5,4,2,5,4,0,4,0
144,2,32,Travel_Frequently,689,Sales,9,2,Medical,195,4,Male,35,1,2,Sales Executive,4,Divorced,22812,0,No,17,3,4,3,9,2,4,8,7,0,7,0
145,2,30,Travel_Rarely,201,Research & Development,5,3,Technical Degree,197,4,Female,84,3,1,Research Scientist,1,Divorced,10415,5,No,14,3,4,1,8,3,3,3,2,2,2,0
146,2,30,Travel_Rarely,1427,Research & Development,2,1,Medical,198,2,Male,35,2,1,Laboratory Technician,4,Single,11162,0,No,13,3,4,0,6,3,3,5,3,1,2,0
147,1,41,Travel_Frequently,857,Research & Development,10,3,Life Sciences,199,4,Male,91,2,4,Manager,1,Divorced,12888,4,No,13,3,2,1,21,2,2,7,6,7,7,0
148,3,41,Travel_Rarely,933,Research & Development,9,4,Life Sciences,200,3,Male,94,3,1,Laboratory Technician,1,Married,6961,2,No,21,4,4,1,7,2,3,5,0,1,4,0
149,2,19,Travel_Rarely,1181,Research & Development,3,1,Medical,201,2,Female,79,3,1,Laboratory Technician,2,Single,16102,1,No,14,3,4,0,1,3,3,1,0,0,0,0
